title,company,location,date,deadline,url,department,workplace_type,staff_type,internal_external,description,requirements
"מנהל/ת בית- הפקולטה למדעי הרפואה והבריאות ע""ש גריי (JB-1314)",אוניברסיטת תל אביב,תל אביב,2026-04-29,2026-05-10,https://www.tau.ac.il/JB-1314/2026/position,הפקולטה למדעי הרפואה והבריאות,onsite,administrative,חיצוני,"אחריות לתפעול התקין, לאחזקה ולניקיון בניין הסימולציה וסביבתו, כולל:
ביצוע עבודות תחזוקה שוטפת, כולל איתור תקלות ותיקונן.
אחריות לתקינותן של המערכות השונות כולל אחזקה מונעת ושוטפת בתיאום עם אגף הנדסה ותחזוקה.
מתן שירות לכלל העובדים והסגלים ולציבור הסטודנטים.
ארגון כיתות ההוראה והציוד הנדרש (מערכות חכמות).
פיקוח שוטף על הבטיחות והביטחון בבניין.
פיקוח על עובדי הניקיון.
אחריות על הציוד והאינוונטר בבניין, כולל תחזוקה, תפעול, פינוי ושינוע של משאות כבדים.
סיוע בארגון אירועים וכנסים.
ניהול והנחייה בנושאים שבטיפול.
קשר עם מגוון גורמים בפקולטה ומחוצה לה.
ביצוע שליחויות ומטלות נוספות בהתאם לצורך ועפ""י הנחיות הממונים.","השכלה תיכונית/מקצועית מלאה, לפחות.
קורסים והשתלמויות בתחום התחזוקה – יתרון.
ידע טכני וניסיון באחזקת מערכות ובתפעול מבנים.
יכולת אבחון תקלות וביצוע תיקונים.
הכרת נהלי בטיחות.
ניסיון בעבודה עם מערכות ממוחשבות, תפעול מכשירים, מערכות מולטימדיה וציוד להוראה אור קולית וציוד הגברה.
ידע בסיסי במחשבים, כולל היכרות עם תוכנות OFFICE.
ידיעה טובה של השפה העברית ויכולת תקשורת בשפה האנגלית.
כושר גופני טוב ונכונות לעבודה פיזית.
רישיון נהיגה.
יכולת הנחיית צוות ניקיון ותחזוקה, ספקים ועוד.
עצמאות, יוזמה, כושר תיאום וארגון, סדר ודיוק.
יכולת התמודדות עם תקלות בלתי צפויות ועם ריבוי משימות.
יכולת עבודה עצמאית והשתלבות בצוות.
כושר גופני טוב ונכונות לעבודה פיזית.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: התפקיד כרוך בעבודה במשמרות וביצוע תורנויות בימי שישי, ערבי חג וחול המועד בהתאם לצורך.
נדרשת נכונות לביצוע שעות נוספות בהתאם לצורך."
רכז/ת מינהל בכיר/ה (JB-1323),אוניברסיטת תל אביב,תל אביב,2026-04-29,2026-05-07,https://www.tau.ac.il/JB-1323/position/2026,"הספרייה למדעי החברה, לניהול ולחינוך ע""ש ברנדר-מוס",onsite,administrative,חיצוני,"אחריות מנהלית כוללת לתפעולה השוטף של מזכירות הספרייה וסיוע למנהלת הספרייה, כולל:
מתן שירותי אדמיניסטרציה למנהלת הספרייה, לרבות ריכוז חומר לישיבות והכנתו, תכתובת שוטפת, כתיבת פרוטוקולים, מעקב אחר ביצוע החלטות ויישומן.
טיפול שוטף במכלול הנושאים האדמיניסטרטיביים כולל ניהול יומנים ותיאום פעילויות מנהלים.
מתן שירות לסגל העובדים ולקהל לקוחות הספרייה.
טיפול שוטף בנושאי כוח אדם של עובדי הספרייה.
מעקב אחר תקציב הספרייה.
טיפול בהזמנות רכש, הזמנות עבודה ובהוראות תשלום.
סיוע בפרויקטים ואירועים מיוחדים, תערוכות, כנסים, ימי עיון והרצאות.
תכתובת שוטפת בשפות עברית ואנגלית עם מגוון גורמים, בארץ ובחו""ל.
ניהול קשר עם מגוון גורמים באוניברסיטה ומחוצה לה.
ביצוע מטלות נוספות ע""פ הנחיות מנהלת הספרייה וככל שיידרש.","תואר אקדמי- רצוי. תעודת בגרות מלאה- חובה.
ניסיון של מספר שנים בתפקיד אדמיניסטרטיבי עצמאי.
ניסיון בתחומי כוח אדם ו/או תקציב- יתרון.
ניסיון בעבודה עם מערכות ממוחשבות, ושליטה בתוכנות OFFICE, לרבות EXCEL.
הכרת הנהלים והתקנונים האוניברסיטאיים ושליטה ב- ERP - יתרון.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה טובה.
יכולת עבודה עצמאית והשתלבות בעבודה בצוות.
יכולת התמודדות עם ריבוי משימות ועומס.
יוזמה, סדר ודיוק, כושר תכנון ויכולת ארגון, תיאום ומעקב.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: נדרשת נכונות לעבודה בשעות נוספות על פי הצורך."
מטפל/ת חיות ראשי/ת ווטרינר/ית (JB-1321),אוניברסיטת תל אביב,תל אביב,2026-04-29,2026-05-07,https://www.tau.ac.il/JB-1321/position/2026,הפקולטה למדעי החיים,onsite,administrative,חיצוני,"אחריות כוללת לטיפול השוטף בבעלי החיים בגן הזואולוגי לרבות:
הנחייה מקצועית של צוות המטפלים בבעלי חיים, לרבות הכנת תכנית עבודה שבועית, חלוקת תורנויות, חלוקת עבודה יומית, קיום שיחות צוות שבועיות, בדיקת נוכחות והחלפת מטפלים בהתאם לצורך.
ניהול תיעוד בעלי חיים כולל מצב רפואי, רבייה, העברות ומעקב אחרי פרטים.
ניהול מערכת הגבייה ובקרה על הכנסות והוצאות הגן.
טיפול בהזמנות רכש, פקודות עבודה וקשר עם ספקים.
ניהול מלאי האוכל לחיות, בית המלאכה והמרפאה הווטרינרית.
סיורים שוטפים בגן, תוך השגחה על נראות הגן ובדיקת הנעשה בכלובים והנחיית צוות המטפלים בהתאם לנדרש.
עבודה שוטפת לרבות הכנת מזון והאכלת בעלי חיים, ניקוי כלובים ונשיאה של משאות כבדים.
מתן מענה והדרכה לסטודנטים וחוקרים המבצעים מחקרים בגן.
ביצוע מטלות נוספות ככל שיידרש ע""י מנהל הגן וראש ביה""ס לזואולוגיה.","תואר ברפואה וטרינרית.
ניסיון ברפואה וטרינרית קלינית של שנתיים לפחות עם חיות בר, כולל חיות טורפות וזוחלים ארסיים.
ניסיון בעבודה אדמיניסטרטיבית - יתרון.
כושר גופני טוב ונכונות לבצע עבודה פיסית מאומצת.
ניסיון בעבודה עם מערכות ממוחשבות כולל שליטה ביישומי OFFICE. היכרות עם מערכת Species360(ZIMS) - יתרון.
ידיעת השפה העברית.
רצוי רישיון נהיגה.
יכולת עבודה עצמאית ויכולת השתלבות בצוות.
יכולת הדרכה והנחייה של צוות העובדים.
יכולת ארגון ומעקב, כושר תיאום, יוזמה ואחריות.
יכולת התמודדות עם ריבוי משימות ועומס.
יחסי אנוש טובים ומודעות למתן שירות.
הערה: התפקיד כרוך בביצוע תורנויות בסופי שבוע, ערבי חג ובימי חול המועד, כולל בשעות הבוקר המוקדמות.
העבודה מתבצעת בשטח פתוח."
טכנאי/ת רנטגן- בית הספר לרפואת שיניים/הפקולטה למדעי הרפואה והבריאות (JB-1286),אוניברסיטת תל אביב,תל אביב,2026-04-29,2026-05-07,https://www.tau.ac.il/JB-1286/2026/position,בית הספר לרפואת שיניים הפקולטה לרפואה,onsite,administrative,חיצוני,"ביצוע צילומי רנטגן דנטליים ופיתוחם.
מתן שירות למטופלים, סטודנטים, מתמחים וחברי סגל ביה""ס.
הדרכה מעשית של סטודנטים לרפואת שיניים.
ביצוע מטלות נוספות ככל שיידרש.","תואר אקדמי- רצוי. תעודת בגרות מלאה- חובה.
תעודת רנטגנאי מוסמך – חובה.
ניסיון בצילומי רנטגן דנטליים – יתרון.
ניסיון בעבודה בתחום הרנטגן – יתרון.
ניסיון בהדרכה – יתרון.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה גבוהה.
יכולת עבודה עצמאית והשתלבות בעבודה בצוות.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: העבודה במשמרות. נדרשת נכונות לביצוע שעות נוספות בהתאם לצורך."
מרכז/ת תחום אבחון לקויות למידה- הדקאנט להצלחת הסטודנטים והסטודנטיות (JB-1327),אוניברסיטת תל אביב,תל אביב,2026-04-29,2026-05-06,https://www.tau.ac.il/JB-1327/2026/position,דקאנט הסטודנטים,onsite,administrative,פנימי,"טיפול בפניות המגיעות למדור בנושא בקשה להתאמות.
אבחון סטודנטים.
פיתוח מקצועי של כלי האבחון.
הדרכת מאבחנות חדשות.
קשר עם המזכירות האקדמית והפקולטות בנושא התאמות לימודיות.
קשר עם מרכזי אבחון מקבילים ועם המרכז הארצי לבחינות והערכה.
מתן מענה בתחום לקויות למידה לתכניות חוץ השייכות לאוניברסיטה.
קידום נושא העלאת המודעות לתחום לקויות הלמידה בקמפוס.
תכנון והעברה של ימי עיון לצוות המינהלי והאקדמי.
עדכון ואיפיון הצרכים במערכת הממוחשבת ממת""א.
אחריות על הקשר עם מדריכות החוג ללקויות למידה באוניברסיטה.
ביצוע מטלות נוספות ככל שיידרש.","תואר שני בחינוך ללקויי למידה הכולל הסמכה לאבחון או תואר שני בחינוך ללקויי למידה בצירוף תעודת מאבחן לקויות למידה – חובה. תעודת הוראה – יתרון.
ניסיון באבחון מת""ל – חובה.
ניסיון של מספר שנים באבחון בוגרים – חובה.
ניסיון בתפקיד דומה במרפאות קשב, באקדמיה או במתי""א – חובה.
ניסיון בעבודה עם צוות רב מקצועי (פסיכולוגים, פסיכיאטרים, עו""סים, מרפאים בעיסוק) – חובה.
ניסיון בהדרכה – יתרון.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה טובה.
ניסיון בעבודה עם מערכות ממוחשבות ושליטה בתוכנות OFFICE.
הכרת הנהלים והתקנונים האוניברסיטאיים ושליטה ב-ERP – יתרון.
יכולת הנחייה והדרכה.
יכולת עבודה עצמאית והשתלבות בעבודה בצוות.
יכולת עבודה בסביבת מרובת ממשקים והתמודדות עם מצבים מורכבים.
יכולת התמודדות עם עומס משימות ועמידה בלוחות זמנים.
יוזמה ויכולת להנעת תהליכים.
כושר תיאום, תכנון וארגון, סדר, דייקנות ויכולת מעקב.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: נדרשת נכונות לעבודה בשעות נוספות בהתאם לצורך."
"רכז/ת בכיר/ה לרכש חו""ל- מדור רכש יבוא (JB-1244)",אוניברסיטת תל אביב,תל אביב,2026-04-29,2026-05-05,https://www.tau.ac.il/JB-1244/position/2025,אגף הכספים כלכלה ותקציבים,onsite,administrative,חיצוני,"ביצוע רכש חו""ל של טובין ושירותים בהתאם לצרכי האוניברסיטה, כולל:
טיפול שוטף במשלוחי ייבוא אוויריים וימיים לישראל.
פתיחת הזמנות במערכת ERP, כולל הזמנת טובין מאתרי אינטרנט ומעקב אחר ההזמנות.
הזמנת ציוד וחומרים למעבדות.
קיום קשר עם ספקים, לרבות ניהול מו""מ בהתאם לצורך, וקשר עם משלחים ועם עמילי המכס.
טיפול בחוזי התקשרות עם ספקים.
בדיקת חיובים וביצוע תשלומי מט""ח לחו""ל.
ביצוע מטלות נוספות ככל שיידרש.","תואר אקדמי. רצוי באחד מתחומים אלה: לוגיסטיקה או מדעי החיים.
תעודת פקיד רישוי מכס - יתרון.
ניסיון של 4 שנים לפחות בתפקיד רלוונטי, הכולל עבודה מול חברות לעמילות מכס, חברות שילוח בינלאומי ובלדרות.
ידע בחוקי הייבוא והייצוא (צווים, תקנות ונהלים).
ידע מוכח במכלול נושאי מט""ח ובשיטות תשלום בסחר בינלאומי, לרבות  פתיחת מכתבי אשראי בנקאיים לייבוא סחורות.
ידע בסחר אלקטרוני.
ניסיון בעבודה עם מערכות ממוחשבות ושליטה בתוכנות OFFICE .
הכרת הנהלים והתקנונים האוניברסטאיים ושליטה ב-ERP- יתרון.
ידיעת השפה העברית על בוריה ושליטה בשפה האנגלית ברמה טובה מאד, כולל יכולת הבעה ותכתובת בשפות אלו.
יכולת עבודה עצמאית והשתלבות בעבודה בצוות.
יוזמה, סדר ודיוק, כושר תכנון ויכולת ארגון, תיאום ומעקב.
יכולת ניהול משא ומתן.
יכולת התמודדות עם עומס משימות ועמידה בלוחות זמנים.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: נדרשת נכונות לעבודה בשעות נוספות עפ""י הצורך."
מחסנאי/ת לציוד הסרטה- בית הספר לקולנוע וטלוויזיה- הפקולטה לאמנויות (JB-1329),אוניברסיטת תל אביב,תל אביב,2026-04-29,2026-05-05,https://www.tau.ac.il/JB-1329/2026/position,"בית הספר לקולנוע ולטלוויזיה ע""ש סטיב טיש",onsite,administrative,פנימי,"אחריות מלאה על מחסן הציוד של בית הספר לקולנוע וטלוויזיה, כולל:
ניהול, תחזוקה, ארגון וסידור של מלאי הציוד: מצלמות, סאונד, תאורה, אביזרים, ציוד הפקה ועוד.
השאלת ציוד להפקות סטודנטים ולצורכי הוראה וקליטת ציוד חוזר, כולל רישום, תיעוד ובקרה שוטפת.
ביצוע בדיקות תקופתיות של תקינות הציוד, איתור תקלות ודיווח על צורך בתיקון או החלפה.
אחריות על הזמנות רכש, הזמנות ציוד ומעקב אחר אספקה.
עבודה שוטפת מול ספקים, טכנאים וצוותי הפקה.
שמירה על נהלי בטיחות, כולל בטיחות חשמל ושימוש תקין בציוד מקצועי, והנחלת חשיבותם בהפקות.
אחריות על אינוונטר בית הספר ועבודה מול גורמי האוניברסיטה.
סיוע לסטודנטים בשימוש בציוד, כולל הנחייה מקצועית בסיסית.
ביצוע מטלות נוספות ככל שיידרש.","תעודת בגרות מלאה לפחות, רצוי תואר אקדמי.
תישקל מועמדותם של עובדים ותיקים שאינם עומדים בדרישת ההשכלה ועברו השתלמויות מקצועיות רלוונטיות לתפקיד.
ניסיון בעבודה במחסן ציוד – חובה.
ניסיון בעבודה בתחום הצילום/הסאונד/ההפקה – יתרון.
ידע טכני בציוד צילום, סאונד ותאורה – יתרון.
יכולת עבודה עם מערכות מלאי.
יכולת פיזית לעבודה הכוללת הרמת ציוד.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה טובה.
ניסיון בעבודה עם מערכות ממוחשבות ושליטה בתוכנות OFFICE.
הכרת הנהלים והתקנונים האוניברסיטאיים ושליטה ב-ERP – יתרון.
יכולת עבודה עצמאית והשתלבות בעבודה בצוות.
יכולת התמודדות עם עומס וריבוי משימות.
יוזמה, כושר תיאום וארגון, סדר, דייקנות ויכולת מעקב.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה: נדרשת נכונות לעבודה בשעות נוספות בהתאם לצורך."
"מ""מ רכז/ת חוגים והשתלמויות",אוניברסיטת תל אביב,תל אביב,2026-04-29,2026-05-05,https://www.tau.ac.il/JB-1330/position/2025,"ביה""ס למדעי המתמטיקה/ הפקולטה למדעים מדויקים",onsite,administrative,חיצוני,"ריכוז הטיפול בנושאי ההוראה של החוג לסטטיסטיקה וחקר ביצועים, לרבות שיבוץ סגל בכיר וזוטר לקורסים
ואחריות על מערכת השעות.
הזנת מינויים במערכת ה ERP.
מתן מענה שוטף לפניות סגל ההוראה, לרבות השתתפות בישיבות, כתיבת פרוטוקולים ומעקב אחר ביצוע החלטות.
אחריות לעדכון אתר ביה""ס, לפרסום ברשתות חברתיות ועוד.
ארגון היום הפתוח.
טיפול בהחזרי תשלום של סגל אקדמי.
שיבוץ חדרי הסמינר בביה""ס.
טיפול בבקשות פטור מקורסי מתמטיקה וסטטיסטיקה.
קשר עם בוגרי בית הספר, ארגון ימי זרקור וקשר עם התעשייה.
טיפול בימי עיון ובהשתלמויות.
סיוע בטיפול בכנסים ובאורחים.
סיוע  אדמיניסטרטיבי למעבדת הסטטיסטיקה.
ביצוע מטלות נוספות ככל שיידרש.","תואר אקדמי- יתרון, תעודת בגרות מלאה - חובה.
ניסיון של מספר שנים בתפקיד אדמיניסטרטיבי עצמאי.
ניסיון בעבודה עם מערכות ממוחשבות. שליטה מלאה בתוכנות OFFICE, לרבות EXCEL .
ידע במערכת ERP ובמערכת מנהל תלמידים (ממת""א) יתרון.
ידיעת השפה העברית על בוריה ושליטה באנגלית ברמה טובה מאד.
יכולת עבודה עצמאית והשתלבות בעבודת צוות.
יוזמה, כושר תיאום ויכולת ארגון ומעקב.
יכולת התמודדות עם עומס משימות ועמידה בלוחות זמנים.
תודעת שירות גבוהה ויחסי אנוש מעולים.
הערה:  נדרשת נכונות לעבודה בשעות נוספות עפ""י הצורך."
מתאם/ת מערכות מחשוב- בית הספר לאדריכלות/ הפקולטה לאמנויות (JB-1309),אוניברסיטת תל אביב,תל אביב,2026-04-29,2026-05-05,https://www.tau.ac.il/JB-1309/2026/position,בית הספר לאדריכלות/הפקולטה לאמנויות,onsite,administrative,חיצוני,"טיפול בנושאי המחשוב של בית הספר, לרבות:
אחזקה ותפעול שוטף של ציוד המחשבים (מחשבים ניידיים, מדפסות,  חומרה, תוכנה ורשתות).
תפעול מערכות מולטימדיה (מקרנים, מגברים וכדו').
איתור תקלות ופתרונן.
ניהול הרשאות משתמשים.
ייעוץ לאנשי הסגל ברכישה של ציוד מחשבים ותוכנות, ואחריות להתקנתם.
קשר שוטף עם ספקים מורשים ועם אגף מחשוב וטכנולוגיות מידע.
סיוע, תמיכה והדרכה למשתמשים בתפעול הציוד והתוכנות.
ביצוע מטלות נוספות ככל שיידרש.","תואר אקדמי/טכנאי/הנדסאי בתחום רלוונטי - רצוי. תעודת בגרות מלאה - חובה.
הכשרה פורמלית בתחום המחשבים.
תעודת – MCSE / MCITP /MCP יתרון.
ניסיון של מספר שנים בהפעלה ובתחזוקה של מחשבים (אישיים וניידים), ציוד היקפי ורשתות תקשורת.
ניסיון באיתור תקלות חומרה ותוכנה ובטיפול בהן.
שליטה מלאה במערכות הפעלה Windows ובתוכנות Office ויישומיהן.
הכרת תוכנות אוטוקאד ותוכנות לאדריכלים.
הכרת מדפסת תלת מימד.
ידיעת השפה העברית על בוריה וידיעת השפה האנגלית ברמה טובה.
יכולת למידה עצמית של נושאים מורכבים והתעדכנות מקצועית.
יכולת עבודה עם מגוון רחב של צרכים טכנולוגיים.
יכולת הדרכת משתמשי קצה.
יכולת עבודה עצמאית והשתלבות בעבודה בצוות.
יכולת התמודדות עם ריבוי משימות ועומס.
יוזמה, סדר ודיוק, כושר תכנון ויכולת ארגון, תיאום ומעקב.
תודעת שירות מעולה ויחסי אנוש מעולים.
הערה: נדרשת נכונות לעבודה בשעות נוספות בהתאם לצורך."
